game_id,country_id,name,event,time
0,1,Флориан Вирц,гол,10
0,1,Йозуа Киммих,пас,10
0,1,Джамал Мусиала,гол,19
0,1,Кай Хаверц,пас,19
0,1,Роберт Андрих,желтая карточка,31
0,2,Райан Портеус,красная карточка,44
0,1,Кай Хаверц,пенальти,45
0,2,Энтони Ралстон,желтая карточка,48
0,1,Джонатан Та,желтая карточка,62
0,1,Никлас Фюллькруг,гол,68
0,1,Антонио Рюдигер,автогол,87
0,1,Томас Мюллер,пас,90+3
0,1,Эмре Джан,гол,90+3
1,4,Сильван Видмер,желтая карточка,5
1,4,Квадво Дуа,гол,12
1,4,Мишель Эбишер,пас,12
1,4,Ремо Фройлер,пас,45
1,4,Мишель Эбишер,гол,45
1,4,Ремо Фройлер,желтая карточка,59
1,3,Доминик Собослаи,пас,66
1,3,Барнабаш Варга,гол,66
1,3,Аттила Салаи,желтая карточка,69
1,3,Бендегуз Болла,желтая карточка,88
1,4,Брель Эмболо,гол,90+3
2,5,Альваро Мората,гол,29
2,5,Фабиан Руис,пас,29
2,5,Фабиан Руис,гол,32
2,5,Педри,пас,32
2,5,Дани Карвахаль,гол,45+2
2,5,Ламин Ямаль,пас,45+2
2,5,Родри,желтая карточка,78
2,6,Бруно Петкович,нет пенальти,80
3,8,Недим Байрами,гол,1
3,7,Алессандро Бастони,гол,11
3,7,Лоренцо Пеллегрини,пас,11
3,7,Николо Барелла,гол,16
3,7,Лоренцо Пеллегрини,желтая карточка,22
3,7,Риккардо Калафьори,желтая карточка,51
3,8,Армандо Броя,желтая карточка,52
3,8,Арбер Ходжа,желтая карточка,74
4,14,Джоуи Верман,желтая карточка,15
4,13,Адам Букса,гол,16
4,13,Пётр Зелиньский,пас,16
4,14,Коди Гакпо,гол,29
4,14,Натан Аке,пас,29
4,14,Ваут Вегхорст,гол,83
4,14,Натан Аке,пас,83
5,10,Кристиан Эриксен,гол,17
5,10,Йонас Винд,пас,17
5,10,Мортен Юльманн,желтая карточка,49
5,9,Петар Стоянович,желтая карточка,53
5,9,Эрик Янжа,гол,77
5,9,Жан Целар,желтая карточка,84
6,12,Джуд Беллингем,гол,13
6,12,Букайо Сака,пас,13
6,11,Неманья Гудель,желтая карточка,39
6,11,Душан Тадич,желтая карточка,75
7,19,Николае Станчу,гол,29
7,19,Деннис Ман,пас,29
7,19,Рэзван Марин,гол,53
7,19,Денис Дрэгуш,гол,57
7,19,Деннис Ман,пас,57
7,20,Ефим Конопля,желтая карточка,67
7,19,Рэзван Марин,желтая карточка,79
8,18,Юрай Куцка,пас,7
8,18,Иван Шранц,гол,7
8,17,Орель Мангаля,желтая карточка,30
8,18,Иван Шранц,желтая карточка,41
8,17,Юри Тилеманс,желтая карточка,76
8,17,Доди Лукебакио,желтая карточка,85
9,15,Максимилиан Вёбер,желтая карточка,16
9,15,Филипп Мвене,желтая карточка,34
9,15,Максимилиан Вёбер,автогол,38
9,16,Усман Дембеле,желтая карточка,56
9,15,Кристоф Баумгартнер,желтая карточка,79
9,15,Конрад Лаймер,желтая карточка,84
9,16,Килиан Мбаппе,желтая карточка,90
9,15,Кевин Дансо,желтая карточка,90+3
10,21,Мерт Мюлдюр,гол,25
10,22,Жорж Микаутадзе,гол,32
10,21,Абдюлькерим Бардакджи,желтая карточка,35
10,22,Соломон Кверквелия,желтая карточка,55
10,21,Арда Гюлер,гол,65
10,21,Каан Айхан,пас,65
10,21,Хакан Чалханоглу,желтая карточка,89
10,21,Керем Актюркоглу,гол,90+7
11,23,Рафаэл Леан,желтая карточка,39
11,24,Патрик Шик,желтая карточка,57
11,24,Лукаш Провод,гол,62
11,24,Владимир Цоуфал,пас,62
11,24,Робин Гранач,автогол,69
11,24,Франсишку Консейсан,гол,90+2
11,24,Франсишку Консейсан,желтая карточка,90+3
12,8,Ясир Асани,пас,11
12,8,Казим Лачи,гол
12,6,Анте Будимир,пас,74
12,6,Андрей Крамарич,гол,74
12,8,Клаус Гясуля,автогол,76
12,8,Эльсеид Хюсай,желтая карточка,77
12,6,Ивица Ивушич,желтая карточка,87
12,8,Мирлинд Даку,желтая карточка,90+3
12,8,Клаус Гясуля,гол,90+5
12,8,Клаус Гясуля,желтая карточка,90+7
13,1,Илкай Гюндоган,пас,22
13,1,Джамал Мусиала,гол,22
13,3,Барнабаш Варга,желтая карточка,22
13,1,Антонио Рюдигер,желтая карточка,27
13,1,Илкай Гюндоган,гол,67
13,1,Максимилиан Миттельштедт,пас,67
13,1,Максимилиан Миттельштедт,желтая карточка,89
13,3,Доминик Собослаи,желтая карточка,90+3
14,2,Скотт Мактоминей,гол,13
14,2,Каллум Макгрегор,пас,13
14,4,Джердан Шакири,гол,26
14,4,Рикардо Родригес,желтая карточка,31
14,2,Скотт Мактоминей,желтая карточка,51
14,2,Скотт Маккенна,желтая карточка,68
14,2,Джон Макгинн,желтая карточка,71
14,4,Венсан Сьерро,желтая карточка,86
15,11,Филип Младенович,желтая карточка,25
15,11,Саша Лукич,желтая карточка,54
15,9,Жан Карничник,гол,69
15,9,Тими Макс Элшник,пас,69
15,9,Эрик Янжа,желтая карточка,87
15,11,Лука Йович,желтая карточка,90+2
15,11,Мият Гачинович,желтая карточка,90+3
15,9,Жан Випотник,желтая карточка,90+4
15,11,Лука Йович,гол,90+5
15,11,Иван Илич,пас,90+5
16,12,Гарри Кейн,гол,18
16,10,Янник Вестергор,желтая карточка,27
16,10,Виктор Кристиансен,пас,34
16,10,Мортен Юльманн,гол,34
16,12,Конор Галлахер,желтая карточка,62
16,10,Йоаким Меле,желтая карточка,73
16,10,Кристиан Нёргор,желтая карточка,87
17,7,Джанлуиджи Доннарумма,желтая карточка,15
17,5,Родри,желтая карточка,45+1
17,7,Брайан Кристанте,желтая карточка,46
17,7,Риккардо Калафьори,автогол,55
17,5,Робен Ле Норман,желтая карточка,69
17,5,Дани Карвахаль,желтая карточка,90+6
18,18,Лукаш Гараслин,пас,17
18,18,Иван Шранц,гол,17
18,20,Александр Зинченко,пас,54
18,20,Николай Шапаренко,гол,54
18,20,Николай Шапаренко,пас,80
18,20,Роман Яремчук,гол,80
18,20,Роман Яремчук,желтая карточка,84
19,15,Филипп Мвене,пас,9
19,15,Гернот Траунер,гол,9
19,13,Кшиштоф Пёнтек,гол,30
19,13,Бартош Слиш,желтая карточка,53
19,15,Патрик Виммер,желтая карточка,56
19,13,Якуб Модер,желтая карточка,62
19,13,Роберт Левандовский,желтая карточка,64
19,15,Александер Прасс,пас,66
19,15,Кристоф Баумгартнер,гол,66
19,15,Марко Арнаутович,желтая карточка,70
19,13,Войцех Щенсный,желтая карточка,77
19,15,Марко Арнаутович,пенальти,78
20,14,Йерди Схаутен,желтая карточка,31
21,24,Владимир Цоуфал,желтая карточка,18
21,22,Гурам Кашия,желтая карточка,36
21,24,Лукаш Провод,желтая карточка,40
21,22,Жорж Микаутадзе,пенальти,45+4
21,24,Давид Юрасек,желтая карточка,47
21,24,Томаш Голеш,желтая карточка,53
21,24,Ондржей Лингр,пас,59
21,24,Патрик Шик,гол,59
21,24,Томаш Соучек,желтая карточка,81
21,22,Георгий Гвелесиани,желтая карточка,82
21,22,Анзор Меквабишвили,желтая карточка,83
21,22,Георгий Кочорашвили,желтая карточка,90+5
22,23,Бернарду Силва,гол,21
22,21,Абдюлькерим Бардакджи,желтая карточка,25	
22,21,Самет Акайдын,автогол,28
22,23,Рафаэл Леан,желтая карточка,39
22,21,Самет Акайдын,желтая карточка,42
22,21,Зеки Челик,желтая карточка,42
22,23,Жуан Пальинья,желтая карточка,45
22,23,Криштиану Роналду,пас,56
22,23,Бруну Фернандеш,гол,56
23,17,Ромелу Лукаку,пас,2
23,17,Юри Тилеманс,гол,2
23,17,Доди Лукебакио,желтая карточка,35
23,19,Никушор Банку,желтая карточка,59
23,19,Мариус Марин,желтая карточка,65
23,17,Кун Кастелс,пас,80
23,17,Кевин Де Брёйне,гол,80
24,4,Дан Ндойе,желтая карточка,25
24,4,Ремо Фройлер,пас,28
24,4,Дан Ндойе,гол,28
24,1,Джонатан Та,желтая карточка,38
24,4,Гранит Джака,желтая карточка,67
24,4,Сильван Видмер,желтая карточка,81
24,1,Давид Раум,пас,90+2
24,1,Никлас Фюллькруг,гол,90+2
25,3,Каллум Стайлз,желтая карточка,18
25,3,Вилли Орбан,желтая карточка,26
25,3,Андраш Шефер,желтая карточка,44
25,2,Скотт Мактоминей,желтая карточка,50
25,3,Ласло Кляйнхайслер,желтая карточка,75
25,3,Роланд Шаллаи,пас,90+10
25,3,Кевин Чобот,гол,90+10
25,3,Кевин Чобот,желтая карточка,90+11
26,5,Дани Ольмо,пас,13
26,5,Ферран Торрес,гол,13
26,8,Недим Байрами,желтая карточка,66
26,8,Медон Бериша,желтая карточка,89
26,5,Дани Вивиан,желтая карточка,90
27,6,Лука Сучич,желтая карточка,24
27,6,Лука Модрич,нет пенальти,54
27,6,Лука Модрич,гол,55
27,6,Лука Модрич,желтая карточка,60
