game_id,date,group,team1,team2,goal1,goal2,description
0,14-6-2024,A,Германия,Шотландия,5,1,ЧЕ-2024 Группа A тур 1
1,15-6-2024,A,Венгрия,Швейцария,1,3,ЧЕ-2024 Группа A тур 1
2,15-6-2024,B,Испания,Хорватия,3,0,ЧЕ-2024 Группа B тур 1
3,15-6-2024,B,Италия,Албания,2,1,ЧЕ-2024 Группа B тур 1
4,16-6-2024,D,Польша,Нидерланды,1,2,ЧЕ-2024 Группа D тур 1
5,16-6-2024,C,Словения,Дания,1,1,ЧЕ-2024 Группа C тур 1
6,16-6-2024,C,Сербия,Англия,0,1,ЧЕ-2024 Группа C тур 1
7,17-6-2024,E,Румыния,Украина,3,0,ЧЕ-2024 Группа E тур 1
8,17-6-2024,E,Бельгия,Словакия,0,1,ЧЕ-2024 Группа E тур 1
9,17-6-2024,D,Австрия,Франция,0,1,ЧЕ-2024 Группа D тур 1
10,18-6-2024,F,Турция,Грузия,3,1,ЧЕ-2024 Группа F тур 1
11,18-6-2024,F,Португалия,Чехия,2,1,ЧЕ-2024 Группа F тур 1
12,19-6-2024,B,Хорватия,Албания,2,2,ЧЕ-2024 Группа B тур 2
13,19-6-2024,A,Германия,Венгрия,2,0,ЧЕ-2024 Группа A тур 2
14,19-6-2024,A,Шотландия,Швейцария,1,1,ЧЕ-2024 Группа A тур 2
15,20-6-2024,C,Словения,Сербия,1,1,ЧЕ-2024 Группа C тур 2
16,20-6-2024,C,Дания,Англия,1,1,ЧЕ-2024 Группа C тур 2
17,20-6-2024,B,Испания,Италия,1,0,ЧЕ-2024 Группа B тур 2
18,21-6-2024,E,Словакия,Украина,1,2,ЧЕ-2024 Группа E тур 2
19,21-6-2024,D,Польша,Австрия,1,3,ЧЕ-2024 Группа D тур 2
20,21-6-2024,D,Нидерланды,Франция,0,0,ЧЕ-2024 Группа D тур 2
21,22-6-2024,F,Грузия,Чехия,1,1,ЧЕ-2024 Группа F тур 2
22,22-6-2024,F,Турция,Португалия,0,3,ЧЕ-2024 Группа F тур 2
23,22-6-2024,E,Бельгия,Румыния,2,0,ЧЕ-2024 Группа E тур 2
24,23-6-2024,A,Швейцария,Германия,1,1,ЧЕ-2024 Группа A тур 3
25,23-6-2024,A,Шотландия,Венгрия,0,1,ЧЕ-2024 Группа A тур 3
26,24-6-2024,B,Албания,Испания,0,1,ЧЕ-2024 Группа B тур 3
27,24-6-2024,B,Хорватия,Италия,1,1,ЧЕ-2024 Группа B тур 3
28,25-6-2024,D,Нидерланды,Австрия,2,3,ЧЕ-2024 Группа D тур 3
29,25-6-2024,D,Франция,Польша,1,1,ЧЕ-2024 Группа D тур 3
30,25-6-2024,C,Англия,Словения,0,0,ЧЕ-2024 Группа C тур 3
31,25-6-2024,C,Дания,Сербия,0,0,ЧЕ-2024 Группа C тур 3
32,26-6-2024,E,Словакия,Румыния,1,1,ЧЕ-2024 Группа E тур 3
33,26-6-2024,E,Украина,Бельгия,0,0,ЧЕ-2024 Группа E тур 3
34,26-6-2024,F,Грузия,Португалия,2,0,ЧЕ-2024 Группа F тур 3
35,26-6-2024,F,Чехия,Турция,1,2,ЧЕ-2024 Группа F тур 3
36,29-6-2024,,Швейцария,Италия,2,0,ЧЕ-2024 1/8 финала
37,29-6-2024,,Германия,Дания,2,0,ЧЕ-2024 1/8 финала
38,30-6-2024,,Англия,Словакия,2,1,(ДВ) ЧЕ-2024 1/8 финала
39,30-6-2024,,Испания,Грузия,4,1,ЧЕ-2024 1/8 финала
40,1-7-2024,,Франция,Бельгия,1,0,ЧЕ-2024 1/8 финала
41,1-7-2024,,Португалия,Словения,0,0,(пен 3-0) ЧЕ-2024 1/8 финала
42,2-7-2024,,Румыния,Нидерланды,0,3,ЧЕ-2024 1/8 финала
43,2-7-2024,,Австрия,Турция,1,2,ЧЕ-2024 1/8 финала
44,5-7-2024,,Испания,Германия,2,1,(ДВ) ЧЕ-2024 1/4 финала
45,5-7-2024,,Португалия,Франция,0,0,(пен 3-5) ЧЕ-2024 1/4 финала
46,6-7-2024,,Англия,Швейцария,1,1,(пен 5-3) ЧЕ-2024 1/4 финала
47,6-7-2024,,Нидерланды,Турция,2,1,ЧЕ-2024 1/4 финала
48,9-7-2024,,Испания,Франция,2,1,ЧЕ-2024 1/2 финала
