num,name,team,birthdate,pos,country
1,Мануэль Нойер,Бавария,27-03-1986,врт,1
12,Оливер Бауман,Хоффенхайм,2-6-1990,врт,1
22,Марк-Андре тер Стеген,Барселона,30-4-1992,врт,1
2,Антонио Рюдигер,Реал Мадрид,3-3-1993,зщ,1
3,Давид Раум,РБ Лейпциг,22-4-1998,зщ,1
4,Джонатан Та,Байер 04,11-2-1996,зщ,1
6,Йозуа Киммих,Бавария,8-2-1995,зщ,1
15,Нико Шлоттербек,Боруссия Дортмунд,1-12-1999,зщ,1
16,Вальдемар Антон,Штутгарт,20-7-1996,зщ,1
18,Максимилиан Миттельштедт,Штутгарт,18-3-1997,зщ,1
20,Беньямин Хенрикс,РБ Лейпциг,23-2-1997,зщ,1
24,Робин Кох,Айнтрахт Франкфурт,17-7-1996,зщ,1
5,Паскаль Грос,Брайтон энд Хоув Альбион,15-6-1991,поз,1
8,Тони Кроос,Реал Мадрид,4-1-1990,поз,1
10,Джамал Мусиала,Бавария,26-2-2003,поз,1
11,Крис Фюрих,Штутгарт,9-1-1998,поз,1
17,Флориан Вирц,Байер 04,3-5-2003,поз,1
19,Лерой Зане,Бавария,11-1-1996,поз,1
21,Илкай Гюндоган,Барселона,24-10-1990,поз,1
23,Роберт Андрих,Байер 04,22-9-1994,поз,1
25,Эмре Джан,Боруссия Дортмунд,12-1-1994,поз,1
7,Кай Хаверц,Арсенал,11-6-1999,нап,1
9,Никлас Фюллькруг,Боруссия Дортмунд,9-2-1993,нап,1
13,Томас Мюллер,Бавария,13-9-1989,нап,1
14,Максимилиан Байер,Хоффенхайм,17-10-2002,нап,1
26,Дениз Ундав,Штутгарт,19-7-1996,нап,1
1,Ангус Ганн,Норвич Сити,22-1-1996,врт,2
12,Лиам Келли,Мотеруэлл,23-1-1996,врт,2
21,Зандер Кларк,Харт оф Мидлотиан,26-6-1992,врт,2
2,Энтони Ралстон,Селтик,16-11-1998,зщ,2
3,Эндрю Робертсон,Ливерпуль,11-3-1994,зщ,2
5,Грант Хэнли,Норвич Сити,20-11-1991,зщ,2
6,Киран Тирни,Реал Сосьедад,5-6-1997,зщ,2
13,Джек Хендри,Аль-Иттифак,7-5-1995,зщ,2
15,Райан Портеус,Уотфорд,25-3-1999,зщ,2
